first-name,last-name,constituency,party,mp-since,entry-start-date,entry-end-date,id,identity,source-description,source-date,source-url,notes,image-source,image-source-url,image-license,image-license-url
Joanna,Cherry,Edinburgh South West,Scottish National,2015-05-08,2015-05-08,2024-05-30,4419,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4419/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Chris,Clarkson,Heywood and Middleton,Conservative,2019-12-13,2019-12-13,2024-05-30,4835,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/10/general-election-next-parliament-prominent-lgbt-voices/,,UK Parliament,https://members.parliament.uk/member/4835/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Elliot,Colburn,Carshalton and Wallington,Conservative,2019-12-13,2019-12-13,2024-05-30,4775,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/10/general-election-next-parliament-prominent-lgbt-voices/,,UK Parliament,https://members.parliament.uk/member/4775/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Ben,Coleman,Chelsea and Fulham,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Deirdre,Costigan,Ealing Southall,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Angela,Crawley,Lanark and Hamilton East,Scottish National,2015-05-08,2015-05-08,2024-05-30,4469,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4469/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Ashley,Dalton,West Lancashire,Labour,2023-02-09,2023-02-09,present,4981,Gay,The Guardian,2023-02-09,https://www.theguardian.com/politics/2023/feb/09/polls-close-in-west-lancashire-byelection,,UK Parliament,https://members.parliament.uk/member/4981/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Ron,Davies,Caerphilly,Labour,1983-06-09,1983-06-09,2001-06-07,552,Bisexual ,BBC News,2003-03-09,http://news.bbc.co.uk/1/hi/wales/2834145.stm,,,,,
Dehenna,Davison,Bishop Auckland,Conservative,2019-12-13,2019-12-13,2024-05-30,4737,Bisexual,The Telegraph,2021-10-10,https://www.telegraph.co.uk/politics/2021/10/10/bisexual-no-big-deal-says-red-wall-tory-mp/,,UK Parliament,https://members.parliament.uk/member/4737/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Carla,Denyer,Bristol Central,Green,2024-07-05,2024-07-05,present,,Bisexual or pansexual,Bristol Post,2025-07-05,https://www.bristolpost.co.uk/news/bristol-news/national-coming-out-day-2020-4591426,,,,,
Martin,Docherty-Hughes,Dunbartonshire West,Scottish National,2015-05-08,2015-05-08,2024-05-30,4374,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4374/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Stephen,Doughty,Cardiff South and Penarth,Labour,2012-11-15,2012-11-15,present,4264,,Pink News,2016-07-06,http://www.pinknews.co.uk/2016/07/06/out-Labour-mp-a-constituent-told-me-that-gay-people-should-be-killed-and-sent-to-hell/,,UK Parliament,https://members.parliament.uk/member/4264/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Alan,Duncan,Rutland and Melton,Conservative,1992-04-09,1992-04-09,2019-11-06,343,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/343/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Sarah,Dyke,Somerton and Frome,Liberal Democrat,2023-07-20,2023-07-20,2024-05-30,4995,,Pink News,2024-07-05,https://www.thepinknews.com/2024/07/05/lgbtq-mps-general-election/,"Andrew Reynolds, writing for Pink News, writes that Sarah Dyke is LGBT+.",UK Parliament,https://members.parliament.uk/member/4995/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Sarah,Dyke,Glastonbury and Somerton,Liberal Democrat,2023-07-20,2024-05-07,present,4995,,Pink News,2024-07-05,https://www.thepinknews.com/2024/07/05/lgbtq-mps-general-election/,"Andrew Reynolds, writing for Pink News, writes that Sarah Dyke is LGBT+.",UK Parliament,https://members.parliament.uk/member/4995/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Angela,Eagle,Wallasey,Labour,1992-04-09,1992-04-09,present,491,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/491/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Damien,Egan,Kingswood,Labour,2024-02-16,2024-02-16,2024-05-30,5010,,Wikipedia,2024-02-16,https://en.wikipedia.org/wiki/Damien_Egan,,UK Parliament,https://members.parliament.uk/member/5010/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Damien,Egan,Bristol North East,Labour,2024-02-16,2024-07-05,present,5010,,Wikipedia,2024-02-16,https://en.wikipedia.org/wiki/Damien_Egan,,UK Parliament,https://members.parliament.uk/member/5010/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Nigel,Evans,Ribble Valley,Conservative,1992-04-09,1992-04-09,2024-05-30,474,,Daily Mail,2010-12-18,http://www.dailymail.co.uk/news/article-1339699/Im-gay-says-Tory-MP-Nigel-Evans-voted-equal-rights-homosexuals.html,,UK Parliament,https://members.parliament.uk/member/474/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Michael,Fabricant,Lichfield,Conservative,1992-04-09,1992-04-09,2024-05-30,280,Bisexual,Wikipedia,2019-10-27,https://en.m.wikipedia.org/wiki/Michael_Fabricant,Michael Fabricant came out as bisexual during TV show “First Dates” in 2017. His full term of office is listed in this data set,UK Parliament,https://members.parliament.uk/member/280/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Mark,Fletcher,Bolsover,Conservative,2019-12-13,2019-12-13,2024-05-30,4774,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/10/general-election-next-parliament-prominent-lgbt-voices/,,UK Parliament,https://members.parliament.uk/member/4774/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Mike,Freer,Finchley and Golders Green,Conservative,2010-05-06,2010-05-06,2024-05-30,4004,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,,,,
Alan,Gemmell,Central Ayrshire,Labour,2024-07-05,2024-07-05,present,,,Irvine Times,2016-01-06,https://www.irvinetimes.com/news/14183179.irvines-alan-gemmell-receives-obe-in-queens-new-years-honours/,,,,,
Nick,Gibb,Bognor Regis and Littlehampton,Conservative,1997-05-01,1997-05-01,2024-05-30,111,,The Independent,2016-02-20,http://www.independent.co.uk/news/people/news/schools-minister-nick-gibb-to-marry-his-secret-partner-after-29-years-together-10301900.html,,UK Parliament,https://members.parliament.uk/member/111/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Peter,Gibson,Darlington,Conservative,2019-12-13,2019-12-13,2024-05-30,4754,,Facebook,2019-12-14,https://www.facebook.com/darlingtonconservativeparty/videos/2550400468415917/,"Peter refers too his partner, Gareth, in his acceptance speech (video, linked)",UK Parliament,https://members.parliament.uk/member/4754/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Oliver,Glover,Didcot and Wantage,Liberal Democrat,2024-07-05,2024-07-05,present,,Gay,Twitter,2024-07-05,https://x.com/LGBTLD/status/992111548939124736,,,,,
Tom,Gordon,Harrogate and Knaresborough,Liberal Democrat,2024-07-05,2024-07-05,present,,Gay,Twitter (X),2020-03-17,https://x.com/tomgordonLD/status/1239840883303944192,,,,,
Justine,Greening,"Putney, Roehampton and Southfields",Conservative,2005-05-05,2005-05-05,2019-09-04,1555,,The Independent,2016-02-20,http://www.independent.co.uk/news/people/who-is-justine-greening-equalities-minister-theresa-may-cabinet-latest-appointments-lgbt-same-sex-a7136586.html,"Justine Greening had the Conservative party whip removed from her in September 2019, and now sits as an independent MP",UK Parliament,https://members.parliament.uk/member/1555/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Justine,Greening,"Putney, Roehampton and Southfields",Independent,2005-05-05,2019-09-04,2019-11-06,1555,,The Independent,2016-02-20,http://www.independent.co.uk/news/people/who-is-justine-greening-equalities-minister-theresa-may-cabinet-latest-appointments-lgbt-same-sex-a7136586.html,"Justine Greening had the Conservative party whip removed from her in September 2019, and now sits as an independent MP",UK Parliament,https://members.parliament.uk/member/1555/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Nia,Griffith,Llanelli,Labour,2005-05-05,2005-05-05,present,1541,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/1541/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Neale,Hanvey,Kirkcaldy and Cowdenbeath,Independent,2019-12-13,2019-12-13,2020-05-29,4782,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/13/uk-gay-parliament-world-2019-general-election-snp-conservatives-labour-lgbt/,Neale Hanvey was suspended from the Scottish National Party during the 2019 election campaign; he had the party whip restored on 29 May 2020,UK Parliament,https://members.parliament.uk/member/4782/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Neale,Hanvey,Kirkcaldy and Cowdenbeath,Scottish National,2019-12-13,2020-05-29,2021-03-28,4782,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/13/uk-gay-parliament-world-2019-general-election-snp-conservatives-labour-lgbt/,Neale Hanvey was suspended from the Scottish National Party during the 2019 election campaign; he had the party whip restored on 29 May 2020,UK Parliament,https://members.parliament.uk/member/4782/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Neale,Hanvey,Kirkcaldy and Cowdenbeath,Alba,2019-12-13,2021-03-28,2024-05-30,4782,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/13/uk-gay-parliament-world-2019-general-election-snp-conservatives-labour-lgbt/,Neale Hanvey changed his political party on 28 March 2021 to the Alba Party,UK Parliament,https://members.parliament.uk/member/4782/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Lloyd,Hatton,South Dorset,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Tom,Hayes,Bournemouth East,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Robert,Hayward,Kingswood,Conservative,1983-06-09,1983-06-09,1992-04-09,863,,LGBT+ Conservatives,2020-01-03,https://www.lgbtconservatives.org.uk/people/type/Patrons?page=1,,UK Parliament,https://members.parliament.uk/member/863/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Nick,Herbert,Arundel and South Down,Conservative,2005-05-05,2005-05-05,2019-11-06,1479,,LGBT Foundation,2017-05-27,http://lgbt.foundation/Your-rights/Your-vote-counts-/Nick-Herbert-MP/,,Wikipedia,https://commons.wikimedia.org/wiki/File:Nick_Herbert_-_minister_for_policing_and_criminal_justice.jpg,Attribution 2.0 Generic (CC BY 2.0),https://creativecommons.org/licenses/by/2.0/deed.en
Antony,Higginbotham,Burnley,Conservative,2019-12-13,2019-12-13,2024-05-30,4833,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/10/general-election-next-parliament-prominent-lgbt-voices/,,UK Parliament,https://members.parliament.uk/member/4833/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Paul,Holmes,Eastleigh,Conservative,2019-12-13,2019-12-13,2024-05-30,4803,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/10/general-election-next-parliament-prominent-lgbt-voices/,,UK Parliament,https://members.parliament.uk/member/4803/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Paul,Holmes,Hamble Valley,Conservative,2019-12-13,2024-07-05,present,4803,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/10/general-election-next-parliament-prominent-lgbt-voices/,,UK Parliament,https://members.parliament.uk/member/4803/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
